stage,claim_id,kind,claim,scope,period,evidence_ids
mandate,A1,ASSUMPTION,"Fictional SLB: the coupon penalty is valued conditional on activation, while credit quality and sustainability integrity receive separate judgments.",FICTIONAL-SUBJECT,2026-09-25,
evidence,A1,ASSUMPTION,"Fictional SLB: the coupon penalty is valued conditional on activation, while credit quality and sustainability integrity receive separate judgments.",FICTIONAL-SUBJECT,2026-09-25,
terms,A1,ASSUMPTION,"Fictional SLB: the coupon penalty is valued conditional on activation, while credit quality and sustainability integrity receive separate judgments.",FICTIONAL-SUBJECT,2026-09-25,
credit,A1,ASSUMPTION,"Fictional SLB: the coupon penalty is valued conditional on activation, while credit quality and sustainability integrity receive separate judgments.",FICTIONAL-SUBJECT,2026-09-25,
label,A1,ASSUMPTION,"Fictional SLB: the coupon penalty is valued conditional on activation, while credit quality and sustainability integrity receive separate judgments.",FICTIONAL-SUBJECT,2026-09-25,
valuation,A1,ASSUMPTION,"Fictional SLB: the coupon penalty is valued conditional on activation, while credit quality and sustainability integrity receive separate judgments.",FICTIONAL-SUBJECT,2026-09-25,
valuation,CALC1,CALCULATION,"Recomputed illustrative slb_stepup_pv; inspect arguments, units and result in calculation C1.",FICTIONAL-SUBJECT,2026-09-25,
market,A1,ASSUMPTION,"Fictional SLB: the coupon penalty is valued conditional on activation, while credit quality and sustainability integrity receive separate judgments.",FICTIONAL-SUBJECT,2026-09-25,
expression,A1,ASSUMPTION,"Fictional SLB: the coupon penalty is valued conditional on activation, while credit quality and sustainability integrity receive separate judgments.",FICTIONAL-SUBJECT,2026-09-25,
challenge,A1,ASSUMPTION,"Fictional SLB: the coupon penalty is valued conditional on activation, while credit quality and sustainability integrity receive separate judgments.",FICTIONAL-SUBJECT,2026-09-25,
memo,A1,ASSUMPTION,"Fictional SLB: the coupon penalty is valued conditional on activation, while credit quality and sustainability integrity receive separate judgments.",FICTIONAL-SUBJECT,2026-09-25,
